"ID","hh_id","age","gender","is_participant"
"3825","3825",41,0,1
"4793","4793",42,0,1
"4845","4845",27,1,1
"13427","13427",43,0,1
"15907","15907",40,0,1
"119730","119730",49,0,1
"120537","120537",42,0,1
"135807","135807",43,1,1
"149733","149733",35,0,1
"154610","154610",36,1,1
"180147","180147",40,1,1
"190034","190034",31,1,1
"207475","207475",32,1,1
"213625","213625",33,0,1
"215529","215529",47,0,1
"221758","221758",39,1,1
"255230","255230",39,1,1
"272791","272791",47,1,1
"274046","274046",39,1,1
"285152","285152",34,1,1
"293473","293473",43,1,1
"318752","318752",44,0,1
"339803","339803",32,1,1
"441492","441492",47,0,1
"447012","447012",39,0,1
"482513","482513",35,1,1
"487509","487509",20,1,1
"543398","543398",39,0,1
"614776","614776",41,1,1
"662350","662350",40,1,1
"680606","680606",33,0,1
"723543","723543",38,1,1
"726871","726871",39,1,1
"751825","751825",31,0,1
"892028","892028",37,1,1
"932792","932792",43,0,1
"1177291","1177291",39,0,1
"1421646","1421646",49,0,1
"1432206","1432206",36,0,1
"1454172","1454172",53,1,1
"1602823","1602823",38,0,1
"1676207","1676207",39,1,1
"1759211","1759211",41,1,1
"2038522","2038522",31,1,1
"2070031","2070031",31,1,1
"2109526","2109526",31,1,1
"2255669","2255669",45,1,1
"2325729","2325729",42,0,1
"2398180","2398180",41,0,1
"2435783","2435783",37,1,1
"2439480","2439480",51,1,1
"2452344","2452344",46,1,1
"2470798","2470798",47,1,1
"2484669","2484669",40,0,1
"2874689","2874689",38,0,1
"2991872","2991872",37,0,1
"3042290","3042290",35,0,1
"3491228","3491228",32,0,1
"3686261","3686261",39,1,1
"4050797","4050797",30,0,1
"4057951","4057951",38,0,1
"4172139","4172139",40,1,1
"4245014","4245014",48,0,1
"4334509","4334509",47,0,1
"4371799","4371799",41,0,1
"4372152","4372152",36,0,1
"4678670","4678670",38,1,1
"4897338","4897338",40,1,1
"5245145","5245145",29,1,1
"5245419","5245419",39,1,1
"5347805","5347805",36,1,1
"5461565","5461565",37,0,1
"5559980","5559980",35,0,1
"5928624","5928624",35,1,1
"5956252","5956252",42,1,1
"5957632","5957632",34,0,1
"6141979","6141979",35,1,1
"6192076","6192076",31,1,1
"6323991","6323991",49,0,1
"6540209","6540209",42,1,1
"7200106","7200106",41,1,1
"7336623","7336623",41,0,1
"7566022","7566022",41,1,1
"7583935","7583935",44,1,1
"7737833","7737833",12,1,1
"8103139","8103139",33,1,1
"8210421","8210421",42,1,1
"8269554","8269554",41,1,1
"8345283","8345283",38,1,1
"8516142","8516142",38,1,1
"8569908","8569908",35,0,1
"9352632","9352632",44,0,1
"9352642","9352642",32,1,1
"9447989","9447989",40,1,1
"9571866","9571866",32,0,1
"9654869","9654869",51,1,1
"9749638","9749638",37,1,1
"9762167","9762167",41,0,1
"9904363","9904363",32,1,1
"9935357","9935357",48,1,1
"10002090","10002090",40,0,1
"10002570","10002570",40,1,1
"10002738","10002738",36,1,1
"10002760","10002760",31,1,1
"10002861","10002861",33,1,1
"20033306","20033306",41,1,1
"20033321","20033321",29,1,1
"20033323","20033323",43,0,1
"20033325","20033325",44,0,1
"20033326","20033326",40,1,1
"20033339","20033339",47,1,1
"20033354","20033354",39,0,1
"20033367","20033367",43,1,1
"20033390","20033390",40,1,1
"20033426","20033426",43,1,1
"20033451","20033451",38,0,1
"20033463","20033463",43,1,1
"20033467","20033467",36,1,1
"20033488","20033488",30,1,1
"20033492","20033492",38,0,1
"20033555","20033555",32,0,1
"20033571","20033571",45,1,1
"20033614","20033614",36,1,1
"20033639","20033639",44,1,1
"20033783","20033783",34,1,1
"20034297","20034297",53,0,1
"20034484","20034484",33,0,1
"20034486","20034486",41,0,1
"20034514","20034514",37,0,1
"20034929","20034929",31,0,1
"20035014","20035014",35,0,1
"20035017","20035017",27,1,1
"20035168","20035168",53,0,1
"20035169","20035169",42,1,1
"20035266","20035266",42,1,1
"20035383","20035383",41,0,1
"20035520","20035520",34,1,1
"20035528","20035528",34,0,1
"20035532","20035532",33,0,1
"20035539","20035539",32,1,1
"20035818","20035818",35,0,1
"20035877","20035877",43,0,1
"20035966","20035966",39,0,1
"20036338","20036338",33,0,1
"20036340","20036340",42,0,1
"20036344","20036344",35,1,1
"20036372","20036372",34,0,1
"20036548","20036548",33,1,1
"20037423","20037423",45,0,1
"20037425","20037425",33,0,1
"20037430","20037430",41,1,1
"20037434","20037434",31,1,1
"20037559","20037559",38,0,1
"20037602","20037602",37,1,1
"20037838","20037838",30,1,1
"20037844","20037844",33,0,1
"20037957","20037957",37,1,1
"20056001","20056001",31,0,1
"20056009","20056009",36,1,1
"20056042","20056042",39,0,1
"20056073","20056073",37,0,1
"20056117","20056117",44,1,1
"20056197","20056197",42,0,1
"20056208","20056208",45,0,1
"20056222","20056222",42,1,1
"20056233","20056233",33,1,1
"20056265","20056265",38,0,1
"20056399","20056399",35,0,1
"20056407","20056407",36,1,1
"20056422","20056422",42,1,1
"20056424","20056424",44,0,1
"20056435","20056435",32,0,1
"20056466","20056466",42,1,1
"20056616","20056616",38,1,1
"20056800","20056800",44,0,1
"20056814","20056814",37,1,1
"20056914","20056914",41,0,1
"20056985","20056985",47,0,1
"20057015","20057015",36,0,1
"20057062","20057062",51,0,1
"20057108","20057108",55,1,1
"20057252","20057252",42,0,1
"20057505","20057505",41,0,1
"20057516","20057516",48,1,1
"20057590","20057590",30,1,1
"20057788","20057788",38,1,1
"20057835","20057835",52,0,1
"20057839","20057839",42,0,1
"20057898","20057898",33,1,1
"20057933","20057933",45,1,1
"20057976","20057976",46,1,1
"20058001","20058001",41,0,1
"20058101","20058101",43,0,1
"20058109","20058109",42,1,1
"20058229","20058229",41,1,1
"20058268","20058268",43,1,1
"20058305","20058305",37,0,1
"20058452","20058452",41,1,1
"20058543","20058543",42,1,1
"20058597","20058597",34,1,1
"20058682","20058682",38,1,1
"20058790","20058790",41,1,1
"20058846","20058846",47,1,1
"20058951","20058951",41,0,1
"20058971","20058971",45,1,1
"20059172","20059172",45,1,1
"20059282","20059282",42,0,1
"20059317","20059317",45,1,1
"20059400","20059400",40,1,1
"20059443","20059443",40,0,1
"20059501","20059501",40,0,1
"20059570","20059570",37,1,1
"20059651","20059651",40,0,1
"20059716","20059716",43,1,1
"20059792","20059792",41,1,1
"20059874","20059874",32,1,1
"20060159","20060159",39,1,1
"20060235","20060235",41,1,1
"20060465","20060465",32,1,1
"20060489","20060489",38,1,1
"20060891","20060891",46,0,1
"20060979","20060979",44,1,1
"20061097","20061097",45,1,1
"20061102","20061102",47,1,1
"20061236","20061236",41,1,1
"20061523","20061523",34,1,1
"20061710","20061710",40,1,1
"20062027","20062027",37,1,1
"20062087","20062087",55,1,1
"20062120","20062120",38,0,1
"20062128","20062128",42,1,1
"20062297","20062297",31,1,1
"20062397","20062397",42,0,1
"20062412","20062412",38,0,1
"20062442","20062442",43,0,1
"20062567","20062567",28,0,1
"20062605","20062605",38,1,1
"20062621","20062621",42,0,1
"20062902","20062902",34,0,1
"20063116","20063116",44,1,1
"20063153","20063153",43,0,1
"20063210","20063210",41,1,1
"20063251","20063251",37,1,1
"20063275","20063275",41,0,1
"20063413","20063413",46,0,1
"20063441","20063441",42,1,1
"20063671","20063671",42,1,1
"20063673","20063673",43,0,1
"20063769","20063769",36,1,1
"20064030","20064030",38,0,1
"20064038","20064038",43,0,1
"20064059","20064059",39,1,1
"20064084","20064084",38,1,1
"20064505","20064505",36,1,1
"20064902","20064902",35,1,1
"20064938","20064938",39,1,1
"20065636","20065636",44,1,1
"20065927","20065927",40,0,1
"20066001","20066001",29,1,1
"20066067","20066067",35,1,1
"20066423","20066423",48,1,1
"20066430","20066430",34,1,1
"20066523","20066523",43,1,1
"20066747","20066747",38,1,1
"20067000","20067000",40,1,1
"20067864","20067864",36,1,1
"20068173","20068173",36,0,1
"20068314","20068314",34,0,1
"20068410","20068410",32,1,1
"20068540","20068540",43,0,1
"20068825","20068825",42,0,1
"20069279","20069279",35,1,1
"20069445","20069445",48,0,1
"20069608","20069608",43,1,1
"20070044","20070044",37,0,1
"20070116","20070116",49,0,1
"20070176","20070176",51,1,1
"20070554","20070554",40,0,1
"20071114","20071114",41,0,1
"20071116","20071116",39,1,1
"20071118","20071118",37,0,1
"20071795","20071795",38,1,1
"20072184","20072184",37,0,1
"20072737","20072737",45,1,1
"20073017","20073017",37,1,1
"20073743","20073743",36,1,1
"20073754","20073754",41,1,1
"20073772","20073772",35,0,1
"20073820","20073820",42,1,1
"20084150","20084150",47,1,1
"20085821","20085821",40,1,1
"20086455","20086455",41,0,1
"20086527","20086527",35,1,1
"20086954","20086954",40,1,1
"20087099","20087099",50,1,1
"20087242","20087242",37,1,1
"20087888","20087888",32,1,1
"20088801","20088801",46,1,1
"20089263","20089263",46,0,1
"20089496","20089496",40,1,1
"20089676","20089676",29,1,1
"20089990","20089990",46,1,1
"20090121","20090121",34,1,1
"20090144","20090144",39,1,1
"20091402","20091402",40,1,1
"20091635","20091635",40,0,1
"20092411","20092411",47,1,1
"20092458","20092458",37,1,1
"20092624","20092624",40,1,1
"20092717","20092717",27,1,1
"20093812","20093812",52,0,1
"30185177","30185177",33,1,1
"30185312","30185312",47,0,1
"30185456","30185456",37,1,1
"30185480","30185480",46,1,1
"30185514","30185514",38,1,1
"30185749","30185749",40,0,1
"382500001","3825",45,1,1
"382500002","3825",11,1,1
"382500003","3825",10,0,1
"382500004","3825",8,0,1
"479300001","4793",41,1,1
"479300002","4793",13,1,1
"479300003","4793",10,1,1
"484500001","4845",29,0,1
"484500002","4845",0,1,1
"1342700001","13427",40,1,1
"1342700002","13427",12,1,1
"1342700003","13427",9,1,1
"1590700001","15907",38,1,1
"1590700002","15907",14,1,1
"1590700003","15907",12,1,1
"11973000001","119730",47,1,1
"11973000002","119730",14,1,1
"11973000003","119730",12,0,1
"12053700001","120537",37,1,1
"12053700002","120537",12,0,1
"12053700003","120537",11,0,1
"13580700001","135807",44,0,1
"13580700002","135807",14,1,1
"13580700003","135807",12,0,1
"14973300001","149733",33,1,1
"14973300002","149733",5,0,1
"14973300003","149733",2,0,1
"15461000001","154610",33,0,1
"15461000002","154610",4,0,1
"15461000003","154610",2,0,1
"18014700001","180147",41,0,1
"18014700002","180147",13,0,1
"18014700003","180147",11,1,1
"19003400001","190034",40,0,1
"19003400002","190034",1,0,1
"20747500001","207475",48,1,1
"20747500002","207475",32,0,1
"20747500003","207475",10,1,1
"21362500001","213625",32,1,1
"21362500002","213625",6,0,1
"21362500003","213625",3,0,1
"21552900001","215529",48,1,1
"21552900002","215529",19,0,1
"21552900003","215529",16,0,1
"21552900004","215529",11,1,1
"22175800001","221758",42,0,1
"22175800002","221758",13,0,1
"22175800003","221758",11,1,1
"25523000001","255230",41,0,1
"25523000002","255230",15,0,1
"25523000003","255230",13,0,1
"25523000004","255230",8,0,1
"25523000005","255230",6,0,1
"27279100001","272791",48,0,1
"27279100002","272791",21,1,1
"27279100003","272791",18,0,1
"27279100004","272791",12,1,1
"27404600001","274046",46,0,1
"27404600002","274046",7,0,1
"27404600003","274046",5,1,1
"28515200001","285152",37,0,1
"28515200002","285152",9,0,1
"28515200003","285152",6,0,1
"29347300001","293473",42,0,1
"29347300002","293473",11,1,1
"31875200001","318752",41,1,1
"31875200002","318752",14,0,1
"31875200003","318752",12,0,1
"33980300001","339803",5,0,1
"33980300002","339803",7,1,1
"44149200001","441492",43,1,1
"44149200002","441492",13,1,1
"44149200003","441492",10,0,1
"44701200001","447012",36,1,1
"44701200002","447012",9,0,1
"48251300001","482513",39,0,1
"48251300002","482513",12,0,1
"48251300003","482513",10,1,1
"48251300004","482513",8,0,1
"48750900001","487509",22,0,1
"48750900002","487509",0,0,1
"54339800001","543398",4,0,1
"61477600001","614776",46,0,1
"61477600002","614776",15,1,1
"61477600003","614776",8,0,1
"66235000001","662350",49,0,1
"66235000002","662350",2,1,1
"66235000003","662350",2,1,1
"68060600001","680606",32,1,1
"68060600002","680606",6,1,1
"68060600003","680606",4,1,1
"72354300001","723543",39,0,1
"72354300002","723543",10,1,1
"72354300003","723543",10,1,1
"72687100001","726871",47,0,1
"72687100002","726871",11,1,1
"72687100003","726871",6,1,1
"75182500001","751825",29,1,1
"75182500002","751825",1,0,1
"75182500003","751825",1,1,1
"89202800001","892028",37,0,1
"89202800002","892028",4,0,1
"89202800003","892028",2,1,1
"93279200001","932792",41,1,1
"93279200002","932792",9,0,1
"93279200003","932792",8,1,1
"93279200004","932792",4,0,1
"117729100001","1177291",31,1,1
"117729100002","1177291",5,0,1
"142164600001","1421646",40,1,1
"142164600002","1421646",13,1,1
"142164600003","1421646",12,0,1
"142164600004","1421646",11,0,1
"142164600005","1421646",9,0,1
"143220600001","1432206",41,1,1
"143220600002","1432206",8,1,1
"143220600003","1432206",6,1,1
"145417200001","1454172",51,0,1
"145417200002","1454172",22,0,1
"145417200003","1454172",13,0,1
"160282300001","1602823",39,1,1
"160282300002","1602823",10,0,1
"160282300003","1602823",4,1,1
"167620700001","1676207",36,0,1
"167620700002","1676207",6,0,1
"175921100001","1759211",40,0,1
"175921100002","1759211",10,1,1
"175921100003","1759211",8,1,1
"200566160002","20056616",9,0,1
"203852200001","2038522",32,0,1
"203852200002","2038522",6,0,1
"203852200003","2038522",3,1,1
"207003100001","2070031",12,0,1
"207003100002","2070031",8,0,1
"210952600001","2109526",6,0,1
"225566900001","2255669",45,0,1
"225566900002","2255669",15,0,1
"225566900003","2255669",11,1,1
"225566900004","2255669",9,1,1
"232572900001","2325729",42,1,1
"232572900002","2325729",16,1,1
"232572900003","2325729",11,1,1
"239818000001","2398180",38,1,1
"239818000002","2398180",16,0,1
"239818000003","2398180",9,1,1
"243578300001","2435783",42,0,1
"243578300002","2435783",12,1,1
"243578300003","2435783",10,1,1
"243948000001","2439480",58,0,1
"243948000002","2439480",11,0,1
"245234400001","2452344",13,0,1
"247079800001","2470798",50,0,1
"247079800002","2470798",15,1,1
"247079800003","2470798",12,1,1
"248466900001","2484669",40,1,1
"248466900002","2484669",12,0,1
"248466900003","2484669",7,1,1
"287468900002","2874689",38,1,1
"287468900003","2874689",8,1,1
"287468900004","2874689",6,1,1
"287468900005","2874689",4,0,1
"299187200001","2991872",9,1,1
"299187200002","2991872",6,0,1
"304229000001","3042290",34,1,1
"304229000002","3042290",7,1,1
"304229000003","3042290",6,1,1
"349122800001","3491228",31,1,1
"349122800002","3491228",5,1,1
"349122800003","3491228",3,1,1
"368626100001","3686261",40,0,1
"368626100002","3686261",4,0,1
"405079700001","4050797",30,1,1
"405079700002","4050797",1,0,1
"405795100001","4057951",35,1,1
"405795100002","4057951",1,1,1
"417213900001","4172139",10,0,1
"417213900002","4172139",8,1,1
"424501400001","4245014",37,1,1
"424501400002","4245014",12,0,1
"433450900001","4334509",37,1,1
"433450900002","4334509",8,1,1
"437179900001","4371799",34,1,1
"437179900002","4371799",8,0,1
"437215200001","4372152",32,1,1
"437215200002","4372152",1,1,1
"467867000001","4678670",34,0,1
"467867000002","4678670",3,0,1
"489733800001","4897338",39,0,1
"489733800002","4897338",15,1,1
"489733800003","4897338",13,1,1
"489733800004","4897338",9,0,1
"524514500001","5245145",31,0,1
"524514500002","5245145",5,0,1
"524514500003","5245145",3,1,1
"524541900001","5245419",41,0,1
"524541900002","5245419",12,0,1
"524541900003","5245419",6,0,1
"534780500001","5347805",42,0,1
