"source","target"
0,182
0,189
0,293
1,47
1,90
1,97
1,127
1,140
1,155
1,163
1,164
1,206
1,219
1,226
1,261
1,263
1,314
2,60
2,65
2,91
2,120
2,137
2,147
2,186
2,197
2,205
2,276
2,292
2,295
3,41
3,125
4,12
4,79
4,105
4,114
4,121
4,126
4,132
4,151
4,193
5,34
5,40
5,47
5,56
5,69
5,90
5,96
5,97
5,164
5,219
5,226
5,241
5,251
5,257
5,263
5,280
5,297
5,299
6,29
6,80
6,103
6,124
6,135
6,138
6,213
6,233
6,312
7,181
7,315
8,31
8,48
8,73
8,81
8,102
8,112
8,152
8,163
8,206
8,245
8,261
9,13
9,23
9,28
9,71
9,82
9,89
9,128
9,150
9,166
9,174
9,179
9,187
9,231
9,250
9,266
9,273
9,274
9,283
9,290
9,298
9,317
10,12
10,114
10,151
10,193
11,36
11,58
11,61
11,113
11,129
11,142
11,224
11,240
11,260
12,68
12,105
12,114
12,126
12,131
12,143
12,151
12,167
12,193
12,215
12,229
13,23
13,28
13,71
13,82
13,89
13,128
13,150
13,174
13,179
13,187
13,217
13,231
13,250
13,266
13,273
13,283
13,290
13,298
13,317
14,42
15,33
15,75
15,79
15,121
15,132
15,185
15,203
15,227
15,288
15,308
15,316
16,255
17,53
17,198
18,52
18,214
19,184
19,285
20,87
20,172
21,109
21,223
21,306
22,201
23,28
23,33
23,71
23,89
23,118
23,128
23,150
23,166
23,174
23,179
23,192
23,196
23,203
23,248
23,250
23,265
23,273
23,274
23,290
23,317
24,64
24,74
24,106
24,123
24,149
24,238
24,252
24,284
24,310
25,136
25,259
25,291
26,66
26,287
27,156
27,180
27,249
28,56
28,71
28,82
28,89
28,128
28,150
28,174
28,187
28,217
28,231
28,250
28,266
28,283
28,290
28,297
28,298
28,317
29,80
29,103
29,124
29,135
29,138
29,213
29,233
29,312
30,134
30,146
30,170
31,48
31,73
31,81
31,102
31,112
31,152
31,163
31,206
31,245
31,261
32,118
32,248
32,265
32,274
33,118
33,166
33,179
33,192
33,196
33,203
33,227
33,248
33,265
33,273
33,274
33,308
33,316
34,40
34,56
34,69
34,90
34,96
34,164
34,217
34,219
34,226
34,241
34,251
34,257
34,280
34,297
34,299
35,54
35,67
35,76
35,122
35,303
36,58
36,113
36,129
36,139
36,153
36,224
36,240
36,260
36,282
37,144
37,305
38,72
38,242
38,247
38,271
39,99
39,117
40,56
40,69
40,82
40,96
40,164
40,217
40,226
40,231
40,241
40,251
40,257
40,266
40,280
40,297
40,299
41,311
42,57
42,220
43,49
43,198
44,65
44,74
44,85
44,130
44,207
44,275
44,284
44,304
45,88
45,199
45,228
46,70
46,141
46,148
46,244
46,254
47,69
47,90
47,97
47,127
47,140
47,155
47,164
47,219
47,226
47,241
47,251
47,261
47,263
47,314
48,81
48,102
48,112
48,127
48,140
48,155
48,163
48,206
48,245
48,261
48,314
49,296
50,262
51,180
52,214
52,302
53,109
54,76
54,221
54,303
54,313
55,204
56,69
56,82
56,96
56,150
56,187
56,217
56,231
56,241
56,251
56,257
56,266
56,280
56,283
56,297
56,298
56,299
57,294
58,61
58,129
58,142
58,165
58,168
58,225
59,154
60,91
60,120
60,137
60,147
60,186
60,197
60,205
60,276
60,292
60,295
61,129
61,142
61,165
61,225
62,110
62,202
62,264
63,145
64,106
64,123
64,149
64,238
64,252
64,284
64,310
65,85
65,91
65,101
65,186
65,275
65,276
65,304
66,194
67,122
67,173
67,211
67,303
68,105
68,114
68,131
68,143
68,167
68,193
68,215
68,229
69,90
69,96
69,164
69,217
69,219
69,226
69,241
69,251
69,257
69,280
69,297
69,299
70,182
70,244
70,254
71,89
71,118
71,128
71,150
71,166
71,174
71,179
71,187
71,196
71,250
71,265
71,273
71,274
71,290
71,298
71,317
72,92
72,242
72,247
72,271
73,81
73,152
73,176
73,245
73,247
73,271
74,106
74,130
74,149
74,207
74,252
74,275
74,284
75,79
75,121
75,132
75,185
75,227
75,258
75,288
75,308
75,316
76,303
76,313
77,222
77,279
77,309
78,83
78,94
78,117
79,121
79,126
79,132
79,151
79,185
79,227
79,288
79,308
79,316
80,213
80,214
80,221
81,102
81,112
81,152
81,163
81,206
81,245
81,261
82,89
82,96
82,128
82,150
82,187
82,217
82,231
82,257
82,266
