"source","target"
0,228
0,489
0,1112
1,22
1,431
1,478
1,720
1,721
1,792
1,794
1,1089
1,1092
1,1195
2,22
2,388
2,661
2,911
3,115
3,117
3,229
3,430
3,471
3,472
3,562
3,565
3,624
3,706
3,887
3,1054
4,644
4,1216
4,1234
5,72
5,87
5,88
5,255
5,279
5,528
5,615
5,913
6,89
6,205
6,454
6,488
6,561
6,623
6,671
6,920
6,1053
6,1228
7,17
7,26
7,206
7,260
7,261
7,262
7,386
7,449
7,450
7,516
7,532
7,551
7,567
7,663
7,667
7,693
7,785
7,817
7,929
7,1114
7,1118
7,1139
7,1154
7,1176
8,57
8,59
8,111
8,177
8,178
8,327
8,334
8,530
8,571
8,572
8,573
8,574
8,600
8,703
8,724
8,755
8,834
8,845
8,905
8,1004
8,1025
8,1071
8,1102
8,1116
8,1128
8,1158
8,1184
8,1185
8,1208
8,1209
8,1210
8,1213
9,202
9,203
9,953
9,1163
10,47
10,48
10,113
10,595
10,613
10,709
10,1013
10,1169
10,1232
11,172
11,200
11,263
11,280
11,352
11,361
11,365
11,384
11,485
11,629
11,670
11,734
11,758
11,768
11,859
11,861
11,1167
11,1182
11,1183
11,1254
11,1256
12,14
12,628
12,684
12,1165
12,1172
13,67
13,513
13,520
13,643
13,655
13,686
13,878
13,1015
14,628
14,684
14,1165
14,1172
15,83
15,292
15,293
15,301
15,302
15,303
15,309
15,346
15,619
15,635
15,639
15,788
15,789
15,790
15,791
15,831
15,832
15,1007
15,1186
15,1189
16,223
16,300
16,705
16,778
16,1132
16,1239
17,26
17,206
17,260
17,261
17,262
17,386
17,449
17,450
17,516
17,532
17,551
17,567
17,663
17,667
17,693
17,785
17,817
17,929
17,1114
17,1118
17,1139
17,1154
17,1176
18,118
18,149
18,175
18,192
18,212
18,360
18,362
18,434
18,469
18,474
18,475
18,477
18,522
18,531
18,568
18,577
18,652
18,856
18,857
18,922
18,924
18,931
18,939
18,1151
18,1177
18,1178
19,62
19,84
19,151
19,189
19,207
19,230
19,243
19,330
19,331
19,336
19,387
19,494
19,496
19,644
19,775
19,928
19,1021
19,1070
19,1079
19,1101
19,1138
19,1214
19,1216
19,1222
19,1234
19,1265
20,21
20,81
20,106
20,209
20,216
20,217
20,249
20,306
20,322
20,441
20,766
20,793
20,1050
20,1230
20,1259
21,81
21,106
21,209
21,216
21,217
21,249
21,306
21,322
21,441
21,766
21,793
21,1050
21,1230
21,1259
22,431
22,478
22,720
22,721
22,792
22,794
22,1089
22,1092
22,1195
23,24
23,186
23,259
23,326
23,402
23,432
23,433
23,436
23,438
23,658
23,665
23,748
23,756
23,827
23,862
23,951
23,983
23,989
23,1014
23,1098
23,1155
23,1179
23,1255
24,186
24,259
24,326
24,402
24,432
24,433
24,436
24,438
24,658
24,665
24,748
24,756
24,827
24,862
24,951
24,983
24,989
24,1014
24,1098
24,1155
24,1179
24,1255
25,698
25,750
25,1013
25,1121
25,1233
26,206
26,260
26,261
26,262
26,386
26,449
26,450
26,516
26,532
26,551
26,567
26,663
26,667
26,693
26,785
26,817
26,929
26,1114
26,1118
26,1139
26,1154
26,1176
27,37
27,173
27,174
27,267
27,351
27,370
27,587
27,653
27,760
27,863
27,1020
27,1113
27,1117
27,1140
