"source","target"
0,133
0,1056
1,473
1,661
2,661
3,620
3,1153
4,142
5,33
5,60
5,826
5,1193
5,1194
6,434
6,1185
7,153
7,567
7,583
7,638
7,642
7,803
7,1046
7,1176
7,1244
8,111
8,394
8,396
8,511
8,1042
9,10
9,47
9,48
9,113
9,391
9,392
9,397
9,643
9,953
9,1015
9,1108
9,1169
10,72
10,113
10,392
10,397
10,506
10,507
10,509
10,709
10,750
10,953
10,1015
10,1169
11,164
11,200
11,234
11,235
11,251
11,252
11,351
11,352
11,556
11,581
11,582
11,629
11,871
11,894
11,944
11,1135
12,13
12,14
12,43
12,44
12,98
12,160
12,162
12,195
12,350
12,383
12,514
12,520
12,649
12,655
12,684
12,686
12,773
12,875
12,878
12,992
12,1037
12,1124
12,1165
12,1203
13,14
13,43
13,44
13,160
13,193
13,194
13,195
13,202
13,203
13,350
13,383
13,514
13,520
13,649
13,655
13,684
13,686
13,691
13,773
13,875
13,878
13,992
13,1037
13,1038
13,1124
13,1163
13,1165
13,1203
14,43
14,44
14,98
14,160
14,162
14,195
14,350
14,383
14,514
14,520
14,649
14,655
14,684
14,686
14,773
14,875
14,878
14,992
14,1037
14,1124
14,1165
14,1203
15,387
15,1214
16,929
16,1139
17,432
17,433
17,665
17,756
18,57
18,59
18,755
18,1071
19,757
20,21
21,196
21,793
22,243
22,494
23,24
23,89
23,127
23,128
23,129
23,131
23,671
23,805
23,841
23,1106
23,1255
24,89
24,127
24,128
24,129
24,131
24,671
24,805
24,841
24,1106
24,1255
25,67
25,87
25,88
25,171
25,281
25,529
25,615
25,709
25,800
25,839
25,913
25,1013
25,1218
25,1257
26,532
26,567
26,667
26,693
26,704
26,785
26,1046
26,1072
26,1237
26,1251
27,126
27,253
27,268
27,354
27,380
27,445
27,446
27,552
27,555
27,745
27,1093
27,1094
27,1095
27,1097
27,1117
27,1122
27,1250
28,29
28,162
28,201
28,213
28,238
28,338
28,339
28,353
28,372
28,425
28,519
28,593
28,609
28,631
28,647
28,654
28,688
28,731
28,771
28,772
28,879
28,884
28,964
28,995
28,996
28,1096
28,1134
28,1223
29,124
29,201
29,381
29,382
29,425
29,427
29,515
29,518
29,519
29,593
29,647
29,683
29,688
29,731
29,733
29,771
29,822
29,879
29,884
29,964
29,995
29,996
29,997
29,1006
29,1096
29,1119
29,1134
29,1156
29,1157
29,1223
29,1231
30,41
30,42
30,95
30,122
30,154
30,239
30,448
30,510
30,594
30,596
30,607
30,608
30,630
30,648
30,690
30,744
30,820
30,868
30,890
30,945
30,982
30,993
30,994
30,1200
30,1201
31,846
32,1073
33,60
33,183
33,586
33,1193
33,1194
34,141
34,240
35,114
35,141
35,510
35,630
35,640
35,868
35,945
35,950
35,1166
35,1174
35,1201
36,832
36,846
37,54
37,143
37,144
37,173
37,174
37,267
37,370
37,426
37,512
37,653
37,1044
37,1045
37,1117
37,1123
37,1192
37,1258
38,222
38,269
38,372
38,425
38,427
38,631
38,654
38,848
39,94
39,161
39,235
39,256
39,447
39,689
39,874
39,876
39,885
39,891
39,1198
40,211
40,258
40,604
40,651
41,42
41,97
41,122
41,123
41,125
41,154
41,239
41,255
41,594
41,608
41,690
41,744
42,97
42,122
42,123
42,125
42,154
42,239
42,255
42,594
42,608
42,690
42,744
43,44
43,98
43,160
43,383
43,514
43,520
43,649
43,684
43,686
43,691
43,773
43,875
43,878
43,992
43,1165
43,1203
44,98
44,383
44,514
44,520
44,649
44,684
44,686
44,691
44,773
44,875
44,878
44,992
44,1165
44,1203
45,74
45,161
45,256
45,447
45,508
45,585
45,632
45,749
45,847
45,872
45,885
45,886
45,993
45,994
45,1107
45,1133
45,1198
45,1224
45,1248
46,53
46,114
46,123
46,125
46,141
46,154
46,163
46,314
46,371
46,505
46,594
46,608
46,645
46,744
46,750
46,880
46,966
46,991
46,1120
46,1121
46,1136
46,1233
47,48
47,72
47,113
47,152
47,155
47,202
47,203
47,391
47,392
47,506
47,507
47,509
47,513
47,595
47,732
47,742
47,743
47,746
47,750
47,953
47,1009
47,1038
47,1163
47,1169
47,1225
47,1232
48,72
48,113
48,152
48,155
48,202
48,203
48,391
48,392
48,506
48,507
48,509
48,513
48,595
48,732
48,742
48,743
48,746
48,750
48,953
48,1009
48,1038
48,1163
48,1169
48,1225
48,1232
49,135
49,980
50,52
50,1112
51,134
51,440
52,133
53,114
53,141
53,154
53,171
53,218
53,281
53,314
53,371
53,505
53,645
53,709
53,913
53,949
53,1013
53,1121
53,1166
53,1174
53,1218
53,1257
54,173
54,174
54,267
54,370
54,426
54,485
54,537
54,555
54,653
54,1094
54,1095
54,1117
54,1192
54,1250
55,73
55,372
55,390
55,602
55,654
55,710
55,747
55,1081
55,1124
55,1175
55,1260
56,367
56,1003
57,59
57,755
57,1071
58,636
58,842
58,887
59,755
59,1071
60,183
60,826
60,1193
60,1194
61,63
61,322
61,348
62,189
63,191
63,322
63,348
64,121
64,347
65,533
65,570
65,801
65,830
65,864
65,1026
65,1064
66,68
66,489
67,800
67,1127
68,634
69,70
69,501
69,502
70,93
70,501
70,502
71,91
72,113
72,152
72,155
72,392
72,397
72,443
72,444
72,506
72,507
72,509
72,595
72,732
72,743
72,746
72,750
72,991
72,1009
72,1120
72,1121
72,1136
72,1169
72,1197
72,1232
72,1233
73,162
73,201
73,213
73,269
73,353
73,372
73,390
73,602
73,631
73,654
73,731
73,747
73,848
73,1096
73,1175
73,1223
73,1260
74,279
74,508
74,585
74,596
74,630
74,632
74,648
74,847
74,886
74,945
74,950
74,993
74,994
74,1107
74,1133
74,1224
75,987
75,1132
76,634
76,1161
77,79
77,296
77,375
78,227
78,926
80,439
80,738
81,774
82,464
82,707
83,310
84,185
84,330
84,331
84,909
85,322
85,329
86,170
86,332
86,751
87,88
87,528
87,529
87,615
87,673
87,800
87,839
87,913
87,1218
88,528
88,529
88,615
88,673
88,800
88,839
88,913
88,1218
89,127
89,128
89,129
89,131
89,259
89,671
89,841
90,95
90,239
90,550
90,820
90,975
90,976
91,96
91,99
92,1132
93,166
94,256
94,447
94,448
94,689
94,874
94,876
94,885
94,886
94,891
94,1133
94,1198
94,1224
95,122
95,239
95,448
95,596
95,607
95,648
95,690
95,820
95,890
95,982
95,993
95,994
95,1200
95,1201
96,99
96,152
96,155
96,202
96,203
96,236
96,513
96,595
96,691
96,742
96,743
96,746
96,1009
96,1163
96,1225
97,123
97,125
97,163
97,236
97,237
97,255
97,443
97,444
97,608
97,770
97,880
97,966
97,991
97,1136
97,1197
98,160
98,383
98,514
98,520
98,543
98,609
98,684
98,686
98,773
98,875
98,878
98,992
98,1165
98,1203
99,152
99,155
99,202
99,203
99,236
99,513
99,595
99,691
99,742
99,743
99,746
99,1009
99,1163
99,1225
100,101
101,714
101,1028
102,103
102,967
103,1264
104,272
104,295
104,722
104,1058
105,1056
105,1148
106,216
106,341
107,110
107,536
108,133
108,560
109,110
109,134
109,343
111,394
111,396
111,511
111,1042
111,1227
112,140
112,219
112,251
112,252
112,316
112,317
112,352
112,401
112,420
112,556
112,581
112,582
112,601
112,629
112,641
112,646
112,678
112,681
112,871
112,944
112,988
112,1035
112,1167
113,392
113,397
113,506
113,507
113,509
113,709
113,732
113,750
113,953
113,1015
113,1169
114,141
114,171
114,218
114,281
114,314
114,371
114,505
114,528
114,640
114,645
114,913
114,949
114,1013
114,1166
114,1174
114,1218
114,1257
115,117
115,624
116,277
116,283
117,229
118,324
118,577
118,924
119,121
120,150
120,923
121,478
122,154
122,239
122,255
122,448
122,510
122,594
122,596
122,607
122,608
122,630
122,690
122,744
122,820
122,868
122,890
122,982
122,1200
122,1201
123,125
123,154
123,163
123,237
123,255
123,443
123,444
123,505
123,594
123,608
123,744
123,770
123,880
123,966
123,991
123,1120
123,1136
123,1197
123,1233
124,214
124,381
124,382
124,515
124,518
124,519
124,593
124,683
124,685
124,688
124,733
124,771
124,822
124,823
124,881
124,884
124,892
124,893
124,964
124,984
124,985
124,996
